Voltage/kV,Current/uA,Uncertainty/uA,,,,
0.5873,0.10,0,,,,
1.1485,0.26,0,,,,
1.5424,0.42,0,,,,
2.1468,0.73,0,,,,
2.5652,0.97,0,,,,
3.0307,1.49,0,,,,
3.5667,2.35,0,,,,
4.0331,3.29,0,,,,
4.1337,3.52,0,,,,
4.2483,3.82,0,,,,
4.4067,4.32,0,,,,
4.6399,5.14,0,,,,
0.0095,0.01,0,,,,
0.4495,0.16,0,,,,
0.6812,0.26,0,,,,
0.8441,0.33,0,,,,
1.0094,0.42,0,,,,
1.4953,0.67,0,,,,
1.7519,0.83,0,,,,
1.9643,0.98,0,,,,
2.6306,1.51,0,,,,
2.933,1.72,0,,,,
3.3297,2.14,0,,,,
3.5163,2.37,0,,,,
3.9601,3.25,0,,,,
4.3,4.2,0,,,,
4.708,5.89,0,,,,
5.146,17.54,0,,,,
4.522,5.02,0,,,,
4.5468,5.13,0,,,,
4.8188,7.18,0,,,,
4.8017,6.91,0,,,,
4.7317,6.25,0,,,,
4.9051,8.97,0,,,,
4.933,9.75,0,,,,
