Voltage/kV,Current/uA,Uncertainty/uA,,,
0.01,0.01,0,,,
0.6,0.11,0,,,
0.99,0.22,0,,,
1.57,0.48,0,,,
2.06,0.72,0,,,
2.64,1.25,0,,,
3.02,1.72,0,,,
3.5,2.47,0,,,
4,3.2,0,,,
4.05,3.33,0,,,
4.1,3.41,0,,,
4.15,3.52,0,,,
4.2,3.61,0,,,
4.25,3.73,0,,,
4.3,3.82,0,,,
4.35,4.04,0,,,
4.4,4.62,0,,,
4.45,5.35,0.2,,,
4.5,7.1,0,,,
4.55,8.9,0.1,,,
4.5,7.1,0.1,,,
4.45,5.7,0.1,,,
4.4,4.6,0.1,,,
4.35,4.3,0.01,,,
4.3,4.1,0.05,,,
4.25,4,0.01,,,
4.2,3.91,0,,,
4.15,3.82,0.01,,,
4.1,3.72,0,,,
4.06,3.65,0,,,
4,3.56,0,,,
3.5,2.95,0,,,
3,2.24,0,,,
2.5,1.81,0,,,
2.01,1.36,0,,,
1.5,0.95,0,,,
1,0.7,0,,,
0.75,0.56,0,,,
0.51,0.41,0,,,
