Voltage/kV,Current/uA,Uncertainty/uA,,,,
0.006,0.01,0.02,,,,
0.565,0.21,0.01,,,,
1.074,0.5,0.01,,,,
1.47,0.78,0.01,,,,
2.051,1.34,0.01,,,,
2.544,1.86,0.01,,,,
3.144,2.65,0.01,,,,
3.55,3.26,0.02,,,,
3.6,3.28,0.01,,,,
3.65,3.33,0.01,,,,
3.7,3.35,0.01,,,,
3.75,3.42,0.01,,,,
3.79,3.53,0.01,,,,
3.86,3.62,0.01,,,,
3.9,3.66,0.01,,,,
3.95,3.73,0.01,,,,
4,3.78,0.01,,,,
4.04,3.85,0.01,,,,
4.1,3.92,0.02,,,,
4.15,3.99,0.02,,,,
4.2,4.03,0.01,,,,
4.25,4.12,0.01,,,,
4.3,4.18,0.01,,,,
4.35,4.33,0.04,,,,
4.4,4.73,0.04,,,,
4.45,5.6,0.2,,,,
4.5,6.9,0.1,,,,
4.55,8.5,0.1,,,,
