File,Critical voltage/kV,Critical current/uA,V(1uA)/kV,Max_eff/%,plateau/%
101g1 0705 RPC 100 Freon - IV.csv,6.058989899,0.174066664,6.271152223,80.87774295,78.99636985
101g2 0205 RPC 95 Freon 05 Isobutane - IV.csv,5.963636364,0.166301144,7.166275271,91.09109109,86.85925353
101g3 0105 RPC 90 Freon 10 Isobutane - IV.csv,5.866363636,0.155592656,7.135116694,89.79206049,85.84580308
101g4 0105 RPC 80 Freon 20 Isobutane - IV.csv,5.886666667,0.172386849,7.136641688,90.79263411,87.3925639
10g1 0705 RPC 100 Freon - IV.csv,6.058989899,0.174066664,6.271152223,,
10g2 0705 RPC 99 Freon 1 Isobutane - IV.csv,6.043333333,0.172935,6.296267908,,
10g3 0705 RPC 98 Freon 02 Isobutane - IV.csv,6.060909091,0.161872016,6.886236095,,
10g4 0705 RPC 97 Freon 03 Isobutane - IV.csv,6.045454545,0.153778602,7.08256324,,
10g5 0205 RPC 95 Freon 05 Isobutane - IV.csv,5.963636364,0.166301144,7.166275271,,
12g1 0205 RPC 95 Freon 05 Isobutane - IV.csv,5.963636364,0.166301144,7.166275271,91.09109109,86.85925353
12g2 0205 RPC 90 (95 Freon 05 Isobutane) 10 CO2 - IV.csv,5.618181818,0.139800066,6.731667714,89.4891945,89.31882392
12g3 0205 RPC 80 (95 Freon 05 Isobutane) 20 CO2 - IV.csv,5.55030303,0.157494031,6.355243466,87.18967229,84.73311016
12g4 0205 RPC 70 (95 Freon 05 Isobutane) 30 CO2 - IV.csv,5.330909091,0.136293171,6.03805766,84.74834774,84.14045184
12g5 0205 RPC 60 (95 Freon 05 Isobutane) 40 CO2 - IV.csv,5.222121212,0.141769954,5.766360766,79.15831663,79.92961201
14g1 0305 RPC 100 CERN - IV.csv,6.162929293,0.136461846,7.430007875,92.039801,90.16490778
14g2 0305 RPC 90 CERN 10 CO2 - IV.csv,5.777676768,0.130622922,6.927233671,91.59248269,88.28888518
14g3 0305 RPC 80 CERN 20 CO2 - IV.csv,5.543232323,0.104324457,6.562723609,87.45098039,85.06276722
14g4 0305 RPC 70 CERN 30 CO2 - IV.csv,5.536363636,0.119404194,6.252825878,86.60633484,84.80693293
14g5 0305 RPC 60 CERN 40 CO2 - IV.csv,5.366363636,0.130303727,5.946964184,81.0703667,80.83686631
16g1 0305 RPC 100 CERN - IV.csv,6.162929293,0.136461846,7.430007875,92.039801,90.16490778
16g2 0205 RPC 95 Freon 05 Isobutane - IV.csv,5.963636364,0.166301144,7.166275271,91.09109109,86.85925353
2904 RPC Freon - IV 2904.csv,6.007171717,0.175371353,6.317055819,,
2904 RPC Freon - IV 3004.csv,5.986868687,0.146310319,6.332408368,,
8g1 3004 RPC Isobutane - IV 3004.csv,6.021818182,0.1576261,6.738279115,78.39444995,78.98938593
8g2 3004 RPC 90 Isobutane 10 CO2 - IV 3004.csv,5.884040404,0.161106468,6.579945348,80.96172718,82.6735963
8g3 3004 RPC 80 Isobutane 20 CO2 - IV 3004.csv,5.664848485,0.15460888,6.312834027,80.20911128,81.71628456
8g4 0105 RPC 70 Isobutane 30 CO2.csv,5.451212121,0.119199968,6.151726068,81.79396092,82.55806647
