Vth/V,HV/kV,I/uA,Uncertainty/uA,Numerator,Denominator,Efficiency/%,Error in eff/%
1.8,5.00,0.10,0.01,239,1723,13.87,0.8
1.8,5.20,0.13,0.01,466,1248,37.34,1.4
1.8,5.40,0.23,0.01,930,1552,59.92,1.2
1.8,5.50,0.33,0.02,679,1005,67.56,1.5
1.8,5.55,0.40,0.03,733,1019,71.93,1.4
1.8,5.60,0.48,0.03,813,1109,73.31,1.3
1.8,5.65,0.61,0.04,752,1008,74.60,1.4
1.8,5.70,0.78,0.05,848,1125,75.38,1.3
1.8,5.75,0.91,0.07,1185,1497,79.16,1.0
1.8,5.80,1.15,0.1,842,1068,78.84,1.2
1.8,5.30,0.17,0.01,514,1005,51.14,1.6
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
