Vth/V,HV/kV,I/uA,Uncertainty/uA,Numerator,Denominator,Efficiency/%,Error in eff/%
1.8,5.40,0.07,0.01,501,1618,30.96,1.1
1.8,5.20,0.06,0.01,162,2060,7.86,0.6
1.8,5.00,0.05,0.01,14,2008,0.70,0.2
1.8,5.60,0.09,0.01,9897,21383,46.28,0.3
1.8,5.80,0.11,0.01,831,1381,60.17,1.3
1.8,6.00,0.13,0.01,1997,2924,68.30,0.9
1.8,6.20,0.17,0.01,883,1139,77.52,1.2
1.8,6.40,0.21,0.01,829,1020,81.27,1.2
1.8,6.60,0.27,0.01,1057,1184,89.27,0.9
1.8,6.80,0.39,0.02,886,1009,87.81,1.0
1.8,7.00,0.51,0.02,939,1021,91.97,0.9
1.8,7.20,0.71,0.03,911,1004,90.74,0.9
1.8,7.40,1.03,0.06,1073,1171,91.63,0.8
1.8,7.50,1.27,0.1,925,1005,92.04,0.9
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
