Vth/V,HV/kV,I/uA,Uncertainty/uA,Numerator,Denominator,Efficiency/%,Error in eff/%
1.8,6.00,0.19,0.01,776,1044,74.33,1.4
1.8,6.10,0.21,0.01,775,1010,76.73,1.3
1.8,6.20,0.25,0.01,1145,1425,80.35,1.1
1.8,6.25,0.26,0.02,809,997,81.14,1.2
1.8,6.30,0.28,0.02,836,1000,83.60,1.2
1.8,6.35,0.30,0.01,821,1004,81.77,1.2
1.8,6.40,0.32,0.01,1128,1355,83.25,1.0
1.8,6.45,0.35,0.02,844,1005,83.98,1.2
1.8,6.50,0.37,0.02,976,1151,84.80,1.1
1.8,6.55,0.40,0.02,874,1002,87.23,1.1
1.8,6.60,0.43,0.03,865,1004,86.16,1.1
1.8,6.65,0.48,0.03,861,1014,84.91,1.1
1.8,6.70,0.50,0.03,862,1001,86.11,1.1
1.8,6.75,0.55,0.03,836,1006,83.10,1.2
1.8,6.80,0.59,0.03,874,1004,87.05,1.1
1.8,6.85,0.67,0.05,873,1008,86.61,1.1
1.8,6.90,0.70,0.05,888,1002,88.62,1.0
1.8,6.95,0.76,0.05,1138,1311,86.80,0.9
1.8,7.00,0.83,0.05,900,1039,86.62,1.1
1.8,7.05,0.89,0.05,950,1058,89.79,0.9
1.8,7.10,0.96,0.07,879,1003,87.64,1.0
1.8,7.15,1.05,0.1,1440,1621,88.83,0.8
1.8,5.80,0.15,0.01,978,1423,68.73,1.2
1.8,5.60,0.12,0.01,540,1003,53.84,1.6
1.8,5.40,0.10,0.01,282,1059,26.63,1.4
1.8,5.20,0.09,0.01,70,1294,5.41,0.6
