Vth/V,HV/kV,I/uA,Uncertainty/uA,Numerator,Denominator,Efficiency/%,Error in eff/%
1.8,4.00,0.05,0.01,0,230,0.00,0.0
1.8,4.20,0.05,0.01,0,278,0.00,0.0
1.8,4.40,0.06,0.01,1,512,0.20,0.2
1.8,4.60,0.07,0.01,2,1062,0.19,0.1
1.8,4.80,0.08,0.01,0,584,0.00,0.0
1.8,5.00,0.09,0.01,35,1010,3.47,0.6
1.8,5.20,0.10,0.01,191,1008,18.95,1.2
1.8,5.40,0.12,0.01,494,1141,43.30,1.5
1.8,5.60,0.17,0.01,662,1010,65.54,1.5
1.8,5.80,0.26,0.01,766,1007,76.07,1.3
1.8,6.00,0.42,0.03,862,1066,80.86,1.2
1.8,6.20,0.67,0.04,862,1018,84.68,1.1
1.8,6.40,1.12,0.07,878,1007,87.19,1.1
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
