Vth/V,HV/kV,I/uA,Uncertainty/uA,Numerator,Denominator,Efficiency/%,Error in eff/%
1.8,5.00,0.07,0.01,106,2094,5.06,0.5
1.8,5.20,0.08,0.01,472,2092,22.56,0.9
1.8,5.40,0.10,0.01,510,1007,50.65,1.6
1.8,5.60,0.15,0.01,690,1035,66.67,1.5
1.8,5.80,0.24,0.02,760,996,76.31,1.3
1.8,6.00,0.45,0.03,869,1027,84.62,1.1
1.8,6.20,0.86,0.05,957,1105,86.61,1.0
1.8,6.30,1.30,0.1,1359,1583,85.85,0.9
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,6.10,0.60,0.04,840,999,84.08,1.2
1.8,5.90,0.33,0.01,810,1034,78.34,1.3
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
