Vth/V,HV/kV,I/uA,Uncertainty/uA,Numerator,Denominator,Efficiency/%,Error in eff/%
1.8,5.40,0.08,0.01,55,1047,5.25,0.7
1.8,5.55,0.09,0.01,171,1000,17.10,1.2
1.8,5.70,0.10,0.01,402,1038,38.73,1.5
1.8,5.85,0.12,0.01,613,1037,59.11,1.5
1.8,5.90,0.12,0.01,804,1326,60.63,1.3
1.8,5.95,0.14,0.01,875,1347,64.96,1.3
1.8,6.00,0.17,0.01,824,1244,66.24,1.3
1.8,6.05,0.21,0.01,684,999,68.47,1.5
1.8,6.10,0.31,0.03,719,1020,70.49,1.4
1.8,6.15,0.5,0.05,733,1010,72.57,1.4
1.8,6.20,0.75,0.08,929,1264,73.50,1.2
1.8,6.25,1.1,0.2,1474,2004,73.55,1.0
1.8,6.27,1.4,0.2,737,1010,72.97,1.4
