V/kV,I/uA,Uncertainty/uA,,"90% freon, 10% isobutane"
0.006,0,0,,
0.507,0,0,,
0.995,0.01,0.01,,
1.484,0.02,0.01,,
2.042,0.02,0.01,,
2.466,0.03,0.01,,
3.019,0.03,0.01,2,
3.5,0.05,0.01,,
3.95,0.05,0.01,,
4.46,0.06,0.01,,
5.02,0.08,0.01,,
5.09,0.08,0.01,,
5.2,0.09,0.01,,
5.32,0.10,0.01,,
5.42,0.10,0.01,,
5.51,0.12,0.01,,
6.02,0.18,0.01,,
6.09,0.21,0.01,,
6.22,0.23,0.01,,
6.30,0.27,0.01,,
6.39,0.32,0.02,,
6.49,0.35,0.03,,
6.61,0.42,0.01,,
6.77,0.55,0.03,,
6.71,0.49,0.02,,
6.9,0.67,0.03,,
7.03,0.86,0.02,,
7.12,0.96,0.04,,
7.19,1.10,0.05,,
5.61,0.12,0.01,,
5.68,0.13,0.01,,
5.72,0.13,0.01,,
5.79,0.15,0.01,,
5.9,0.16,0.01,,
