V/kV,I/uA,Uncertainty/uA,,100% freon,,1.8lph
0.007,0,0.01,,,,
1.101,0.01,0.01,,,,
2.030,0.02,0.01,,,,
3.017,0.03,0.01,,,,
3.41,0.04,0.01,,,,
4.01,0.05,0.01,,,,
4.50,0.06,0.01,,,,
5.01,0.07,0.01,,,,
5.20,0.07,0.01,,,,
5.41,0.08,0.01,,,,
5.60,0.09,0.01,,,,
5.79,0.11,0.01,,,,
5.90,0.13,0.01,,,,
6.02,0.16,0.01,,,,
6.09,0.19,0.01,,,,
6.20,0.50,0.05,,,,
6.26,0.83,0.08,,,,
6.31,1.5,0.15,,,,
6.15,0.29,0.03,,,,
6.05,0.16,0.01,,,,
6.12,0.23,0.02,,,,
6.18,0.42,0.03,,,,
6.22,0.63,0.06,,,,
6.27,1.05,0.01,,,,
