V/kV,I/uA,Uncertainty/uA,,"99% freon, 1% isobuane",,1.8lph freon
0.007,0,0,,,,
1.095,0.01,0.01,,,,
2.002,0.02,0.01,,,,
2.963,0.03,0.01,,,,
3.48,0.04,0.01,,,,
4.02,0.05,0.01,,,,
4.44,0.05,0.01,,,,
5.02,0.07,0.01,,,,
5.19,0.08,0.01,,,,
5.38,0.09,0.01,,,,
5.58,0.10,0.01,,,,
5.81,0.12,0.01,,,,
5.91,0.13,0.01,,,,
6.02,0.14,0.01,,,,
6.05,0.15,0.01,,,,
6.10,0.16,0.01,,,,
6.15,0.18,0.01,,,,
6.20,0.19,0.01,,,,
6.25,0.2,0.01,,,,
6.31,0.23,0.01,,,,
6.37,0.25,0.01,,,,
6.43,0.28,0.01,,,,
6.53,0.34,0.02,,,,
6.58,0.37,0.03,,,,
6.68,0.43,0.02,,,,
6.8,0.54,0.04,,,,
6.91,0.72,0.04,,,,
7.03,0.92,0.08,,,,
7.11,1.05,0.1,,,,
7.18,1.22,0.1,,,,
