V/kV,I/uA,Uncertainty/uA,,"80% isobutane, 20% CO2"
0.007,0,0,,
0.575,0,0.01,,
0.993,0.01,0.01,,
1.528,0.01,0.02,,
2.040,0.02,,,
2.505,0.03,,,
3.064,0.03,,,
3.57,0.04,,,
4.01,0.05,,,
4.42,0.06,0.01,,
4.66,0.06,,,
5.02,0.08,,,
5.2,0.09,0.01,,
5.39,0.12,0.01,,
5.51,0.14,0.01,,
5.58,0.14,0.01,,
5.69,0.16,0.02,,
5.81,0.20,0.02,,
5.9,0.27,0.02,,
6.01,0.35,0.04,,
6.05,0.4,0.05,,
6.1,0.47,0.05,,
6.15,0.55,0.05,,
6.17,0.59,0.05,,
6.21,0.71,0.05,,
6.24,0.79,0.07,,
6.28,0.86,0.08,,
6.32,1.03,0.1,,
6.35,1.15,0.1,,
