Vth/V,HV/kV,I/uA,Uncertainty/uA,Numerator,Denominator,Efficiency/%
1.7,5.40,0.09,0.01,51,1349,3.78
1.7,5.55,0.10,0.01,150,1100,13.64
1.7,5.70,0.12,0.01,353,1003,35.19
1.7,5.85,0.14,0.01,584,1082,53.97
1.7,5.90,0.15,0.01,717,1246,57.54
1.7,5.95,0.19,0.02,794,1282,61.93
1.7,6.00,0.21,0.01,633,1011,62.61
1.7,6.05,0.29,0.02,689,1013,68.02
1.7,6.10,0.41,0.05,944,1339,70.50
1.7,6.15,0.63,0.08,938,1352,69.38
1.7,6.19,0.95,0.2,784,1019,76.94
1.8,5.40,0.08,0.01,55,1047,5.25
1.8,5.55,0.09,0.01,171,1000,17.10
1.8,5.70,0.10,0.01,402,1038,38.73
1.8,5.85,0.12,0.01,613,1037,59.11
1.8,5.90,0.12,0.01,804,1326,60.63
1.8,5.95,0.14,0.01,875,1347,64.96
1.8,6.00,0.17,0.01,824,1244,66.24
1.8,6.05,0.21,0.01,684,999,68.47
1.8,6.10,0.31,0.03,719,1020,70.49
1.8,6.15,0.5,0.05,733,1010,72.57
1.8,6.20,0.75,0.08,929,1264,73.50
1.8,6.25,1.1,0.2,1474,2004,73.55
1.8,6.27,1.4,0.2,737,1010,72.97
1.9,5.40,0.08,0.01,105,1415,7.42
1.9,5.55,0.09,0.01,326,1325,24.60
1.9,5.70,0.09,0.01,463,997,46.44
1.9,5.85,0.12,0.01,665,1029,64.63
1.9,5.90,0.14,0.01,675,1004,67.23
1.9,5.95,0.15,0.01,987,1434,68.83
1.9,5.99,0.18,0.01,706,1004,70.32
1.9,6.05,0.23,0.02,731,1033,70.76
1.9,6.10,0.31,0.04,783,1092,71.70
1.9,6.15,0.46,0.05,748,1009,74.13
1.9,6.20,0.68,0.1,973,1310,74.27
1.9,6.25,1.05,0.1,756,1005,75.22
2.0,5.40,0.08,0.01,96,1016,9.45
2.0,5.45,0.09,0.01,172,1160,14.83
2.0,5.60,0.10,0.01,377,1027,36.71
2.0,5.70,0.11,0.01,552,1074,51.40
2.0,5.85,0.13,0.01,639,1094,58.41
2.0,5.90,0.14,0.01,673,1071,62.84
2.0,5.95,0.18,0.01,887,1320,67.20
2.0,6.00,0.19,0.02,744,1057,70.39
2.0,6.05,0.26,0.02,892,1220,73.11
2.0,6.10,0.36,0.04,879,1219,72.11
2.0,6.15,0.60,0.05,879,1212,72.52
2.0,6.20,0.95,0.1,796,1050,75.81
2.0,6.25,1.4,0.2,755,1021,73.95
2.1,5.40,0.08,0.01,256,1754,14.60
2.1,5.55,0.10,0.01,554,1516,36.54
2.1,5.70,0.11,0.01,547,999,54.75
2.1,5.85,0.14,0.01,663,1007,65.84
2.1,5.90,0.16,0.01,763,1119,68.19
2.1,5.95,0.17,0.01,717,1001,71.63
2.1,6.02,0.23,0.02,924,1289,71.68
2.1,6.05,0.25,0.02,719,1015,70.84
2.1,6.10,0.35,0.04,934,1342,69.60
2.1,6.15,0.62,0.08,747,1063,70.27
2.1,6.19,0.90,0.1,725,1010,71.78
