Voltage/kV,Current/uA,Uncertainty/uA,,4th March,Upside Down,With books
0.07,0.00,,,,,
0.558,0.00,,,,,
1.138,0.01,0.01,One spike to 0.07uA,,,
1.650,0.01,0.01,,,,
2.162,0.01,0.01,Spike every ~10s to about 0.10uA,,,
2.562,0.01,0.01,,,,
3.071,0.01,0.01,Spikes,,,
3.61,0.03,0.02,,,,
4.14,0.05,0.01,,,,
4.61,0.05,0.01,Occasional dip to 0.00uA,,,
5.12,0.06,0.01,,,,
5.70,0.08,0.01,,,,
5.82,0.11,0.01,,,,
5.91,0.10,0.01,Came down: hyseresic?,,,
6.05,0.12,0.03,,,,
6.24,0.15,0.03,,,,
6.29,0.17,0.03,,,,
6.34,0.19,0.04,,,,
6.39,0.23,0.04,,,,
6.43,0.24,0.02,,,,
6.47,0.26,0.03,,,,
6.54,0.30,0.03,,,,
6.61,0.32,0.04,,,,
6.69,0.39,0.10,,,,
6.74,0.60,0.10,,,,
6.78,0.65,0.20,,,,
6.85,0.60,0.20,,,,
