Voltage/kV,Current/uA,Uncertainty/uA,Old current/uA,,04/03/2024
0.007,0.00,0.00,0,,4.50pm
0.509,0.01,0.01,0.01,,
0.951,0.02,,0.02,,
1.487,0.03,0.01,0.04,,
1.859,0.05,0.01,0.06,,
2.491,0.07,0.01,0.08,,
2.812,0.09,,0.11,,
3.48,0.14,,0.15,,
3.97,0.19,0.01,0.2,,
4.46,0.25,,0.22,,
4.88,0.31,,0.26,,
5.32,0.40,0.01,0.34,,
5.58,0.47,0.01,0.48,,
5.88,0.61,0.01,0.5,,
5.91,0.62,0.01,0.53,,
5.96,0.65,0.02,0.58,,
5.99,0.67,0.01,0.61,,
6.02,0.69,0.02,0.69,,
6.05,0.74,0.03,0.76,,
6.08,0.75,0.02,0.91,,
6.19,0.93,0.04,1.01,,
